40
0.043493 0.151588
0.041857 0.092926
0.052428 0.143935
0.051515 0.120809
0.044931 0.214487
0.053995 0.180710
0.043518 0.156370
0.040596 0.115791
0.039591 0.119458
0.053870 0.157908
0.048589 0.113837
0.045929 0.129035
0.038604 0.140837
0.044301 0.128854
0.050989 0.199933
0.041811 0.171243
0.047399 0.139340
0.051763 0.158014
0.053393 0.167931
0.060505 0.178761
0.043881 0.152105
0.046652 0.156744
0.048139 0.219650
0.046502 0.135087
0.039010 0.110157
0.037991 0.103779
0.050947 0.193069
0.055523 0.153374
0.055883 0.175820
0.051517 0.141281
0.047090 0.126350
0.040342 0.135874
0.040519 0.163650
0.047006 0.114976
0.048110 0.133502
0.050973 0.148317
0.045582 0.136992
0.039312 0.208673
0.048507 0.157340
0.033265 0.147267
4 6 0.406014
4 7 0.339701
4 8 0.506664
4 9 0.391896
4 10 0.347993
4 11 0.502399
4 12 0.498901
4 13 0.383628
4 14 0.484578
4 15 0.362278
4 16 0.405674
4 17 0.463820
4 18 0.458863
4 19 0.411998
4 20 0.408524
4 21 0.389170
4 22 0.350390
4 23 0.301146
4 24 0.434920
4 25 0.466870
4 26 0.457894
4 27 0.248274
4 28 0.394491
4 29 0.359086
4 30 0.414756
4 31 0.466198
4 32 0.466640
4 33 0.339466
4 34 0.489291
4 35 0.426920
4 36 0.416104
4 37 0.428857
4 38 0.288714
4 39 0.431676
4 40 0.389748
5 5 1.000000
5 6 0.450369
5 7 0.384598
5 8 0.433499
5 9 0.427322
5 10 0.317127
5 11 0.399189
5 12 0.443027
5 13 0.436891
5 14 0.502911
5 15 0.404109
5 16 0.439657
5 17 0.484060
5 18 0.455585
5 19 0.446395
5 20 0.420110
5 21 0.402757
5 22 0.364191
5 23 0.295423
5 24 0.382793
5 25 0.379326
5 26 0.375932
5 27 0.277129
5 28 0.412861
5 29 0.422514
5 30 0.409898
5 31 0.429721
5 32 0.482050
5 33 0.370422
5 34 0.488990
5 35 0.433503
5 36 0.399319
5 37 0.368048
5 38 0.344310
5 39 0.433542
5 40 0.383490
6 6 1.000000
6 7 0.484553
6 8 0.566711
6 9 0.524880
6 10 0.428585
6 11 0.559685
6 12 0.651060
6 13 0.554543
6 14 0.677474
6 15 0.555032
6 16 0.614599
6 17 0.680077
6 18 0.664642
6 19 0.635977
6 20 0.580665
6 21 0.542451
6 22 0.493480
6 23 0.435033
6 24 0.535178
6 25 0.557222
6 26 0.571267
6 27 0.361615
6 28 0.579935
6 29 0.565147
6 30 0.581108
6 31 0.603553
6 32 0.671870
6 33 0.458157
6 34 0.678991
6 35 0.575451
6 36 0.560809
6 37 0.526184
6 38 0.452202
6 39 0.651306
6 40 0.515280
7 7 1.000000
7 8 0.465708
7 9 0.482815
7 10 0.358506
7 11 0.447871
7 12 0.515871
7 13 0.514923
7 14 0.579845
7 15 0.472338
7 16 0.515523
7 17 0.564870
7 18 0.520290
7 19 0.500209
7 20 0.456804
7 21 0.478767
7 22 0.417896
7 23 0.380316
7 24 0.463364
7 25 0.441122
7 26 0.461165
7 27 0.329125
7 28 0.441881
7 29 0.450477
7 30 0.435702
7 31 0.490915
7 32 0.549569
7 33 0.413698
7 34 0.535463
7 35 0.458810
7 36 0.476604
7 37 0.457587
7 38 0.402832
7 39 0.520920
7 40 0.431414
8 8 1.000000
8 9 0.522961
8 10 0.463044
8 11 0.646382
8 12 0.681381
8 13 0.519612
8 14 0.681593
8 15 0.494933
8 16 0.563028
8 17 0.653727
8 18 0.656240
8 19 0.599627
8 20 0.587425
8 21 0.530622
8 22 0.463255
8 23 0.383035
8 24 0.549282
8 25 0.622174
8 26 0.590359
8 27 0.358912
8 28 0.587261
8 29 0.536261
8 30 0.582471
8 31 0.633911
8 32 0.642871
8 33 0.467074
8 34 0.694312
8 35 0.587582
8 36 0.569917
8 37 0.569447
8 38 0.401516
8 39 0.618369
8 40 0.513286
9 9 1.000000
9 10 0.413506
9 11 0.509762
9 12 0.600409
9 13 0.596164
9 14 0.647321
9 15 0.503137
9 16 0.552600
9 17 0.627182
9 18 0.573325
9 19 0.551149
9 20 0.500677
9 21 0.495632
9 22 0.498035
9 23 0.387311
9 24 0.483383
9 25 0.459829
9 26 0.539149
9 27 0.376525
9 28 0.527560
9 29 0.507781
9 30 0.536885
9 31 0.568935
9 32 0.606169
9 33 0.446507
9 34 0.648422
9 35 0.548856
9 36 0.550746
9 37 0.519857
9 38 0.421146
9 39 0.577269
9 40 0.484719
10 10 1.000000
10 11 0.517052
10 12 0.472565
10 13 0.396442
10 14 0.483329
10 15 0.373283
10 16 0.408015
10 17 0.480642
10 18 0.460747
10 19 0.419429
10 20 0.405324
10 21 0.397509
10 22 0.360029
10 23 0.304917
10 24 0.401158
10 25 0.411480
10 26 0.420276
10 27 0.283959
10 28 0.426656
10 29 0.391971
10 30 0.444763
10 31 0.448717
10 32 0.474723
10 33 0.360203
10 34 0.498763
10 35 0.433095
10 36 0.422091
10 37 0.423578
10 38 0.311079
10 39 0.447872
10 40 0.385951
11 11 1.000000
11 12 0.660154
11 13 0.489515
11 14 0.632606
11 15 0.470941
11 16 0.544582
11 17 0.630379
11 18 0.635279
11 19 0.559207
11 20 0.535721
11 21 0.510494
11 22 0.448879
11 23 0.387878
11 24 0.544627
11 25 0.571590
11 26 0.588604
11 27 0.339966
11 28 0.574507
11 29 0.533575
11 30 0.601298
11 31 0.608329
11 32 0.619148
11 33 0.458792
11 34 0.675770
11 35 0.552318
11 36 0.551857
11 37 0.565449
11 38 0.374409
11 39 0.606948
11 40 0.494821
12 12 1.000000
12 13 0.629823
12 14 0.804849
12 15 0.608546
12 16 0.762790
12 17 0.820610
12 18 0.790718
12 19 0.739719
12 20 0.683977
12 21 0.645782
12 22 0.633761
12 23 0.537714
12 24 0.702115
12 25 0.679926
12 26 0.664991
12 27 0.383929
12 28 0.629377
12 29 0.595687
12 30 0.678193
12 31 0.758574
12 32 0.776941
12 33 0.509294
12 34 0.744274
12 35 0.604467
12 36 0.657633
12 37 0.623983
12 38 0.480259
12 39 0.724195
12 40 0.575665
13 13 1.000000
13 14 0.713115
13 15 0.560064
13 16 0.607216
13 17 0.670450
13 18 0.608770
13 19 0.591064
13 20 0.546152
13 21 0.556857
13 22 0.523288
13 23 0.422270
13 24 0.526460
13 25 0.515483
13 26 0.520500
13 27 0.364166
13 28 0.501355
13 29 0.510187
13 30 0.517957
13 31 0.581256
13 32 0.641073
13 33 0.477576
13 34 0.613616
13 35 0.538481
13 36 0.577660
13 37 0.535873
13 38 0.471696
13 39 0.604472
13 40 0.509914
14 14 1.000000
14 15 0.677239
14 16 0.748231
14 17 0.833123
14 18 0.788364
14 19 0.731205
14 20 0.673240
14 21 0.686911
14 22 0.615444
14 23 0.528396
14 24 0.666180
14 25 0.671920
14 26 0.647520
14 27 0.425853
14 28 0.618904
14 29 0.613174
14 30 0.653528
14 31 0.729528
14 32 0.788309
14 33 0.559953
14 34 0.758313
14 35 0.643641
14 36 0.686554
14 37 0.647345
14 38 0.539148
14 39 0.738586
14 40 0.602508
15 15 1.000000
15 16 0.612363
15 17 0.659285
15 18 0.628846
15 19 0.581331
15 20 0.544084
15 21 0.553514
15 22 0.491852
15 23 0.464214
15 24 0.537260
15 25 0.600536
15 26 0.505074
15 27 0.347091
15 28 0.491086
15 29 0.491458
15 30 0.505220
15 31 0.557601
15 32 0.650970
15 33 0.451508
15 34 0.596657
15 35 0.506613
15 36 0.525007
15 37 0.492543
15 38 0.468939
15 39 0.609477
15 40 0.476255
16 16 1.000000
16 17 0.794384
16 18 0.738124
16 19 0.693079
16 20 0.632544
16 21 0.630229
16 22 0.669235
16 23 0.586414
16 24 0.672453
16 25 0.593663
16 26 0.603514
16 27 0.370122
16 28 0.592085
16 29 0.571781
16 30 0.605214
16 31 0.680011
16 32 0.734571
16 33 0.488339
16 34 0.649374
16 35 0.538249
16 36 0.595139
16 37 0.546163
16 38 0.474185
16 39 0.683914
16 40 0.528890
17 17 1.000000
17 18 0.807426
17 19 0.742480
17 20 0.694399
17 21 0.682093
17 22 0.640654
17 23 0.582173
17 24 0.707904
17 25 0.667465
17 26 0.656344
17 27 0.415610
17 28 0.687365
17 29 0.676962
17 30 0.704113
17 31 0.736759
17 32 0.795918
17 33 0.546340
17 34 0.751681
17 35 0.613127
17 36 0.661193
17 37 0.630275
17 38 0.514333
17 39 0.755264
17 40 0.595772
18 18 1.000000
18 19 0.732641
18 20 0.677014
18 21 0.636925
18 22 0.555388
18 23 0.503881
18 24 0.643618
18 25 0.678899
18 26 0.657824
18 27 0.384795
18 28 0.643116
18 29 0.618913
18 30 0.677571
18 31 0.715575
18 32 0.762607
18 33 0.499029
18 34 0.741520
18 35 0.594779
18 36 0.628719
18 37 0.592703
18 38 0.472168
18 39 0.733069
18 40 0.558093
19 19 1.000000
19 20 0.630747
19 21 0.601078
19 22 0.531196
19 23 0.465088
19 24 0.584020
19 25 0.595581
19 26 0.599603
19 27 0.354283
19 28 0.582912
19 29 0.584936
19 30 0.590838
19 31 0.649096
19 32 0.721786
19 33 0.464232
19 34 0.703684
19 35 0.558144
19 36 0.598568
19 37 0.544860
19 38 0.459992
19 39 0.669843
19 40 0.522311
20 20 1.000000
20 21 0.605811
20 22 0.488196
20 23 0.437974
20 24 0.577414
20 25 0.595790
20 26 0.539062
20 27 0.333939
20 28 0.541004
20 29 0.522081
20 30 0.552209
20 31 0.613387
20 32 0.680392
20 33 0.462044
20 34 0.630100
20 35 0.537665
20 36 0.550483
20 37 0.544105
20 38 0.430222
20 39 0.636678
20 40 0.505101
21 21 1.000000
21 22 0.501173
21 23 0.465011
21 24 0.576398
21 25 0.560102
21 26 0.501153
21 27 0.334110
21 28 0.497698
21 29 0.491431
21 30 0.513940
21 31 0.580575
21 32 0.681738
21 33 0.463217
21 34 0.589320
21 35 0.500812
21 36 0.532960
21 37 0.519730
21 38 0.437235
21 39 0.590627
21 40 0.485027
22 22 1.000000
22 23 0.519560
22 24 0.591215
22 25 0.464172
22 26 0.471521
22 27 0.319135
22 28 0.466817
22 29 0.458776
22 30 0.483058
22 31 0.544418
22 32 0.567642
22 33 0.421981
22 34 0.518502
22 35 0.456915
22 36 0.499434
22 37 0.473782
22 38 0.400703
22 39 0.547562
22 40 0.443575
23 23 1.000000
23 24 0.561250
23 25 0.451125
23 26 0.425197
23 27 0.274311
23 28 0.419805
23 29 0.396400
23 30 0.423088
23 31 0.470345
23 32 0.546617
23 33 0.361902
23 34 0.445333
23 35 0.375717
23 36 0.426174
23 37 0.408349
23 38 0.352962
23 39 0.496036
23 40 0.371761
24 24 1.000000
24 25 0.613578
24 26 0.554199
24 27 0.331300
24 28 0.508120
24 29 0.482310
24 30 0.523341
24 31 0.608226
24 32 0.637988
24 33 0.458063
24 34 0.583538
24 35 0.500355
24 36 0.550360
24 37 0.530988
24 38 0.422547
24 39 0.605935
24 40 0.490302
25 25 1.000000
25 26 0.621101
25 27 0.327241
25 28 0.504303
25 29 0.490710
25 30 0.530766
25 31 0.629670
25 32 0.649698
25 33 0.453533
25 34 0.641556
25 35 0.523832
25 36 0.561368
25 37 0.566753
25 38 0.434150
25 39 0.662980
25 40 0.489981
26 26 1.000000
26 27 0.353246
26 28 0.601193
26 29 0.546871
26 30 0.591947
26 31 0.626702
26 32 0.634300
26 33 0.425896
26 34 0.660162
26 35 0.522303
26 36 0.591716
26 37 0.557795
26 38 0.395921
26 39 0.653588
26 40 0.494813
27 27 1.000000
27 28 0.367714
27 29 0.347730
27 30 0.366768
27 31 0.366110
27 32 0.404684
27 33 0.299189
27 34 0.415392
27 35 0.351901
27 36 0.351041
27 37 0.352341
27 38 0.283873
27 39 0.397468
27 40 0.325796
28 28 1.000000
28 29 0.679910
28 30 0.651460
28 31 0.592799
28 32 0.610782
28 33 0.438804
28 34 0.648296
28 35 0.546727
28 36 0.552054
28 37 0.524773
28 38 0.381810
28 39 0.639349
28 40 0.502050
29 29 1.000000
29 30 0.608390
29 31 0.555893
29 32 0.596215
29 33 0.446550
29 34 0.620169
29 35 0.525037
29 36 0.517487
29 37 0.497476
29 38 0.382581
29 39 0.613377
29 40 0.486091
30 30 1.000000
30 31 0.626621
30 32 0.650314
30 33 0.451055
30 34 0.647868
30 35 0.534233
30 36 0.540545
30 37 0.522035
30 38 0.382268
30 39 0.626358
30 40 0.495365
31 31 1.000000
31 32 0.705950
31 33 0.473951
31 34 0.695618
31 35 0.566726
31 36 0.595896
31 37 0.573073
31 38 0.438044
31 39 0.672239
31 40 0.528530
32 32 1.000000
32 33 0.521951
32 34 0.742283
32 35 0.622524
32 36 0.640064
32 37 0.613668
32 38 0.507693
32 39 0.725891
32 40 0.571967
33 33 1.000000
33 34 0.518274
33 35 0.471191
33 36 0.459233
33 37 0.443749
33 38 0.378641
33 39 0.498353
33 40 0.421979
34 34 1.000000
34 35 0.647175
34 36 0.642770
34 37 0.613208
34 38 0.466744
34 39 0.715265
34 40 0.571780
35 35 1.000000
35 36 0.546544
35 37 0.529105
35 38 0.421422
35 39 0.580311
35 40 0.493272
36 36 1.000000
36 37 0.625182
36 38 0.456379
36 39 0.708784
36 40 0.534367
37 37 1.000000
37 38 0.427540
37 39 0.642943
37 40 0.500861
38 38 1.000000
38 39 0.492348
38 40 0.381580
39 39 1.000000
39 40 0.564260
40 40 1.000000
